word,count,frequency_rank,train_count,standard_frequency_rank
的,1383,1,1005,1
我,1339,2,960,2
了,714,3,493,3
他,681,4,489,4
说,560,5,410,6
你,529,6,416,5
是,467,7,351,7
就,376,8,262,9
在,355,9,249,10
小王子,348,10,276,8
这,323,11,205,11
有,257,12,180,12
人,232,13,176,13
对,228,14,169,14
也,212,15,160,15
不,211,16,145,16
着,186,17,134,19
很,178,18,136,18
什么,170,19,144,17
会,170,20,128,21
都,165,21,132,20
一个,159,22,125,22
上,155,23,113,26
地,150,24,91,33
花儿,149,25,125,23
它,147,26,97,29
又,146,27,93,31
呢,141,28,105,27
他们,138,29,122,24
要,137,30,93,32
得,127,31,88,34
她,126,32,114,25
去,113,33,93,30
没,113,34,80,36
那,112,35,84,35
把,110,36,76,40
让,107,37,71,44
星球,104,38,62,48
来,104,39,77,39
像,102,40,68,45
星星,102,41,98,28
想,101,42,74,42
给,101,43,55,54
个,100,44,79,37
画,96,45,24,134
这个,95,46,52,58
过,94,47,78,38
可,93,48,74,41
没有,93,49,60,49
可是,91,50,57,52
知道,86,51,58,51
和,78,52,62,47
国王,76,53,72,43
还,76,54,54,55
自己,75,55,53,57
回答,74,56,53,56
狐狸,72,57,68,46
你们,70,58,46,66
它们,69,59,57,53
就是,69,60,51,60
绵羊,68,61,20,165
好,67,62,41,74
问,66,63,60,50
看,63,64,49,62
到,61,65,47,64
要是,61,66,44,68
只,60,67,32,100
可以,60,68,44,67
而,60,69,34,95
这儿,60,70,38,79
这样,60,71,52,59
跟,57,72,42,70
呀,55,73,47,65
一样,54,74,36,82
因为,54,75,38,77
一,53,76,35,88
不是,53,77,37,80
做,52,78,48,63
那么,52,79,42,72
吗,51,80,41,73
里,51,81,25,127
地理学家,50,82,50,61
沙漠,50,83,36,85
感到,49,84,39,75
吧,48,85,32,101
能,48,86,28,114
朋友,47,87,38,78
不过,46,88,34,89
地方,46,89,34,92
大人,46,90,42,69
这么,46,91,34,96
这些,46,92,42,71
猴面包树,45,93,4,814
一朵,44,94,38,76
东西,44,95,34,90
用,44,96,36,86
走,43,97,33,98
下,42,98,32,99
啊,42,99,34,91
来说,42,100,36,84
起来,42,101,30,109
还是,42,102,36,87
看见,41,103,37,81
地球,40,104,34,93
觉得,40,105,32,102
那些,40,106,32,103
再,39,107,29,110
只有,39,108,33,97
太,38,109,24,131
已经,38,110,22,145
我们,38,111,26,118
所以,38,112,24,132
点灯,38,113,12,265
真,38,114,26,122
笑,38,115,28,113
那儿,38,116,20,167
长,38,117,24,136
问题,38,118,26,125
爱,37,119,29,111
一只,36,120,18,170
一颗,36,121,30,106
中,36,122,30,107
住,36,123,28,112
命令,36,124,36,83
哪儿,36,125,26,117
明白,36,126,26,120
谁,36,127,30,108
那个,36,128,26,123
非常,36,129,24,137
但,34,130,18,172
您,34,131,34,94
行星,34,132,28,115
驯养,34,133,32,104
多,33,134,23,139
如果,33,135,23,140
时,32,136,20,164
有点,32,137,24,133
颗,32,138,24,138
从,31,139,21,152
怎么,31,140,21,154
蛇,31,141,31,105
不会,30,142,22,144
为什么,30,143,18,171
于是,30,144,19,169
当然,30,145,22,146
请,30,146,8,400
远,30,147,18,181
重要,30,148,26,124
玫瑰,29,149,23,142
的话,29,150,23,143
些,28,151,26,116
使,28,152,24,128
商人,28,153,24,130
喜欢,28,154,20,161
找,28,155,22,149
接着,28,156,14,232
事情,27,157,20,157
大,27,158,17,184
望,27,159,25,126
水,27,160,18,178
一会儿,26,161,20,156
别的,26,162,14,217
刺,26,163,24,129
当,26,164,20,163
探险家,26,165,26,119
时间,26,166,22,150
正事,26,167,26,121
看到,26,168,24,135
路灯,26,169,4,882
人们,25,170,21,151
夜里,25,171,17,183
并,25,172,15,210
朵,25,173,23,141
以前,24,174,16,188
出,24,175,16,190
可不是,24,176,20,160
吃,24,177,14,219
干,24,178,20,162
所有,24,179,22,148
虚荣,24,180,20,166
蟒蛇,24,181,14,239
一天,23,182,14,212
一座,23,183,19,168
一张,23,184,12,247
却,23,185,16,191
小,23,186,15,209
才,23,187,21,155
时候,23,188,17,185
晚上,23,189,9,317
比,23,190,15,211
然后,23,191,14,236
一遍,22,192,16,187
五亿,22,193,20,158
但是,22,194,15,206
发现,22,195,20,159
声音,22,196,14,222
意思,22,197,22,147
或者,22,198,7,414
挺,22,199,16,199
最,22,200,18,177
现在,22,201,14,238
酒鬼,22,202,18,182
飞机,22,203,8,408
号,21,204,21,153
小行星,21,205,18,175
还有,21,206,17,186
为了,20,207,14,213
变得,20,208,16,192
只是,20,209,16,193
叫,20,210,18,174
向,20,211,14,220
孩子,20,212,10,288
日落,20,213,18,176
看不见,20,214,16,202
真的,20,215,18,179
老,20,216,18,180
说不定,20,217,16,204
事,19,218,14,215
以后,19,219,13,244
听,19,220,15,207
没法,19,221,16,200
话,19,222,13,245
一次,18,223,8,323
一直,18,224,10,275
久,18,225,8,332
井,18,226,6,442
们,18,227,8,336
剖开,18,228,8,342
占有,18,229,18,173
只要,18,230,14,218
哪,18,231,12,256
天空,18,232,14,223
小家伙,18,233,14,225
幸福,18,234,10,291
有趣,18,235,12,262
火山,18,236,12,264
生活,18,237,16,201
美,18,238,16,203
讲,18,239,14,241
世界,17,240,15,205
声,17,241,15,208
一些,16,242,10,271
一种,16,243,10,276
上面,16,244,12,248
也好,16,245,8,333
了解,16,246,14,214
你好,16,247,16,189
别,16,248,12,253
听见,16,249,12,255
呣,16,250,16,194
哭,16,251,12,257
噢,16,252,14,221
太阳,16,253,8,352
奇怪,16,254,10,286
好像,16,255,7,411
孤独,16,256,12,259
属于,16,257,16,195
帽子,16,258,16,196
心想,16,259,14,229
忘记,16,260,16,197
想到,16,261,10,293
扳道,16,262,16,198
找到,16,263,8,365
提,16,264,14,233
朝,16,265,14,234
比如说,16,266,14,235
种子,16,267,4,826
等,16,268,10,300
被,16,269,14,240
见,16,270,12,268
规定,16,271,0,
该,16,272,8,399
辘轳,16,273,6,550
下来,15,274,12,249
从没,15,275,10,278
这时,15,276,9,319
一件,14,277,12,246
一边,14,278,8,328
为,14,279,12,250
以为,14,280,14,216
刚才,14,281,10,283
喝,14,282,6,460
坐在,14,283,12,258
实在,14,284,8,354
审判,14,285,14,224
工,14,286,14,226
开始,14,287,14,227
当时,14,288,14,228
我会,14,289,14,230
打哈欠,14,290,14,231
拿,14,291,12,261
早晨,14,292,6,503
独一无二,14,293,14,237
由于,14,294,8,387
瞧,14,295,8,389
那样,14,296,14,242
难道,14,297,14,243
高兴,14,298,10,309
全都,13,299,12,252
嘴,13,300,4,693
想起,13,301,6,492
朵玫瑰,13,302,7,416
看上去,13,303,11,270
认识,13,304,10,303
一切,12,305,6,423
一句,12,306,10,272
一定,12,307,10,273
一点,12,308,6,429
件,12,309,2,1070
作,12,310,12,251
其中,12,311,10,281
再见,12,312,8,337
再说,12,313,8,338
别人,12,314,10,284
加,12,315,12,254
占,12,316,8,343
危险,12,317,6,451
后来,12,318,2,1222
告诉,12,319,6,458
天,12,320,9,313
好处,12,321,10,287
弄,12,322,8,357
很快,12,323,10,292
得到,12,324,12,260
