word,count,frequency_rank,train_count,standard_frequency_rank
的,1005,1,1005,1
我,960,2,960,2
了,493,3,493,3
他,489,4,489,4
你,416,5,416,5
说,410,6,410,6
是,351,7,351,7
小王子,276,8,276,8
就,262,9,262,9
在,249,10,249,10
这,205,11,205,11
有,180,12,180,12
人,176,13,176,13
对,169,14,169,14
也,160,15,160,15
不,145,16,145,16
什么,144,17,144,17
很,136,18,136,18
着,134,19,134,19
都,132,20,132,20
会,128,21,128,21
一个,125,22,125,22
花儿,125,23,125,23
他们,122,24,122,24
她,114,25,114,25
上,113,26,113,26
呢,105,27,105,27
星星,98,28,98,28
它,97,29,97,29
去,93,30,93,30
又,93,31,93,31
要,93,32,93,32
地,91,33,91,33
得,88,34,88,34
那,84,35,84,35
没,80,36,80,36
个,79,37,79,37
过,78,38,78,38
来,77,39,77,39
把,76,40,76,40
可,74,41,74,41
想,74,42,74,42
国王,72,43,72,43
让,71,44,71,44
像,68,45,68,45
狐狸,68,46,68,46
和,62,47,62,47
星球,62,48,62,48
没有,60,49,60,49
问,60,50,60,50
知道,58,51,58,51
可是,57,52,57,52
它们,57,53,57,53
给,55,54,55,54
还,54,55,54,55
回答,53,56,53,56
自己,53,57,53,57
这个,52,58,52,58
这样,52,59,52,59
就是,51,60,51,60
地理学家,50,61,50,61
看,49,62,49,62
做,48,63,48,63
到,47,64,47,64
呀,47,65,47,65
你们,46,66,46,66
可以,44,67,44,67
要是,44,68,44,68
大人,42,69,42,69
跟,42,70,42,70
这些,42,71,42,71
那么,42,72,42,72
吗,41,73,41,73
好,41,74,41,74
感到,39,75,39,75
一朵,38,76,38,76
因为,38,77,38,77
朋友,38,78,38,78
这儿,38,79,38,79
不是,37,80,37,80
看见,37,81,37,81
一样,36,82,36,82
命令,36,83,36,83
来说,36,84,36,84
沙漠,36,85,36,85
用,36,86,36,86
还是,36,87,36,87
一,35,88,35,88
不过,34,89,34,89
东西,34,90,34,90
啊,34,91,34,91
地方,34,92,34,92
地球,34,93,34,93
您,34,94,34,94
而,34,95,34,95
这么,34,96,34,96
只有,33,97,33,97
走,33,98,33,98
下,32,99,32,99
只,32,100,32,100
吧,32,101,32,101
觉得,32,102,32,102
那些,32,103,32,103
驯养,32,104,32,104
蛇,31,105,31,105
一颗,30,106,30,106
中,30,107,30,107
谁,30,108,30,108
起来,30,109,30,109
再,29,110,29,110
爱,29,111,29,111
住,28,112,28,112
笑,28,113,28,113
能,28,114,28,114
行星,28,115,28,115
些,26,116,26,116
哪儿,26,117,26,117
我们,26,118,26,118
探险家,26,119,26,119
明白,26,120,26,120
正事,26,121,26,121
真,26,122,26,122
那个,26,123,26,123
重要,26,124,26,124
问题,26,125,26,125
望,25,126,25,126
里,25,127,25,127
使,24,128,24,128
刺,24,129,24,129
商人,24,130,24,130
太,24,131,24,131
所以,24,132,24,132
有点,24,133,24,133
画,24,134,24,134
看到,24,135,24,135
长,24,136,24,136
非常,24,137,24,137
颗,24,138,24,138
多,23,139,23,139
如果,23,140,23,140
朵,23,141,23,141
玫瑰,23,142,23,142
的话,23,143,23,143
不会,22,144,22,144
已经,22,145,22,145
当然,22,146,22,146
意思,22,147,22,147
所有,22,148,22,148
找,22,149,22,149
时间,22,150,22,150
人们,21,151,21,151
从,21,152,21,152
号,21,153,21,153
怎么,21,154,21,154
才,21,155,21,155
一会儿,20,156,20,156
事情,20,157,20,157
五亿,20,158,20,158
发现,20,159,20,159
可不是,20,160,20,160
喜欢,20,161,20,161
干,20,162,20,162
当,20,163,20,163
时,20,164,20,164
绵羊,20,165,20,165
虚荣,20,166,20,166
那儿,20,167,20,167
一座,19,168,19,168
于是,19,169,19,169
一只,18,170,18,170
为什么,18,171,18,171
但,18,172,18,172
占有,18,173,18,173
叫,18,174,18,174
小行星,18,175,18,175
日落,18,176,18,176
最,18,177,18,177
水,18,178,18,178
真的,18,179,18,179
老,18,180,18,180
远,18,181,18,181
酒鬼,18,182,18,182
夜里,17,183,17,183
大,17,184,17,184
时候,17,185,17,185
还有,17,186,17,186
一遍,16,187,16,187
以前,16,188,16,188
你好,16,189,16,189
出,16,190,16,190
却,16,191,16,191
变得,16,192,16,192
只是,16,193,16,193
呣,16,194,16,194
属于,16,195,16,195
帽子,16,196,16,196
忘记,16,197,16,197
扳道,16,198,16,198
挺,16,199,16,199
没法,16,200,16,200
生活,16,201,16,201
看不见,16,202,16,202
美,16,203,16,203
说不定,16,204,16,204
世界,15,205,15,205
但是,15,206,15,206
听,15,207,15,207
声,15,208,15,208
小,15,209,15,209
并,15,210,15,210
比,15,211,15,211
一天,14,212,14,212
为了,14,213,14,213
了解,14,214,14,214
事,14,215,14,215
以为,14,216,14,216
别的,14,217,14,217
只要,14,218,14,218
吃,14,219,14,219
向,14,220,14,220
噢,14,221,14,221
声音,14,222,14,222
天空,14,223,14,223
审判,14,224,14,224
小家伙,14,225,14,225
工,14,226,14,226
开始,14,227,14,227
当时,14,228,14,228
心想,14,229,14,229
我会,14,230,14,230
打哈欠,14,231,14,231
接着,14,232,14,232
提,14,233,14,233
朝,14,234,14,234
比如说,14,235,14,235
然后,14,236,14,236
独一无二,14,237,14,237
现在,14,238,14,238
蟒蛇,14,239,14,239
被,14,240,14,240
讲,14,241,14,241
那样,14,242,14,242
难道,14,243,14,243
以后,13,244,13,244
话,13,245,13,245
一件,12,246,12,246
一张,12,247,12,247
上面,12,248,12,248
下来,12,249,12,249
为,12,250,12,250
作,12,251,12,251
全都,12,252,12,252
别,12,253,12,253
加,12,254,12,254
听见,12,255,12,255
哪,12,256,12,256
哭,12,257,12,257
坐在,12,258,12,258
孤独,12,259,12,259
得到,12,260,12,260
拿,12,261,12,261
有趣,12,262,12,262
服从,12,263,12,263
火山,12,264,12,264
点灯,12,265,12,265
等到,12,266,12,266
统治,12,267,12,267
见,12,268,12,268
今天,11,269,11,269
看上去,11,270,11,270
一些,10,271,10,271
一句,10,272,10,272
一定,10,273,10,273
一条,10,274,10,274
一直,10,275,10,275
一种,10,276,10,276
中间,10,277,10,277
从没,10,278,10,278
作品,10,279,10,279
你们好,10,280,10,280
其中,10,281,10,281
其他,10,282,10,282
刚才,10,283,10,283
别人,10,284,10,284
坐下,10,285,10,285
奇怪,10,286,10,286
好处,10,287,10,287
孩子,10,288,10,288
将军,10,289,10,289
崇拜,10,290,10,290
幸福,10,291,10,291
很快,10,292,10,292
想到,10,293,10,293
房子,10,294,10,294
星,10,295,10,295
更,10,296,10,296
正是,10,297,10,297
点,10,298,10,298
离开,10,299,10,299
等,10,300,10,300
等于,10,301,10,301
老虎,10,302,10,302
认识,10,303,10,303
说话,10,304,10,304
转瞬即逝,10,305,10,305
道,10,306,10,306
错,10,307,10,307
需要,10,308,10,308
高兴,10,309,10,309
不作声,9,310,9,310
只见,9,311,9,311
大概,9,312,9,312
天,9,313,9,313
开,9,314,9,314
往,9,315,9,315
总,9,316,9,316
晚上,9,317,9,317
起,9,318,9,318
这时,9,319,9,319
随时,9,320,9,320
b612,8,321,8,321
一下,8,322,8,322
一次,8,323,8,323
一片,8,324,8,324
一百万,8,325,8,325
一眼,8,326,8,326
一起,8,327,8,327
一边,8,328,8,328
三座,8,329,8,329
不该,8,330,8,330
两样,8,331,8,331
久,8,332,8,332
也好,8,333,8,333
五,8,334,8,334
从来不,8,335,8,335
们,8,336,8,336
再见,8,337,8,337
再说,8,338,8,338
写,8,339,8,339
决不,8,340,8,340
刚,8,341,8,341
剖开,8,342,8,342
占,8,343,8,343
厉害,8,344,8,344
句,8,345,8,345
另,8,346,8,346
可能,8,347,8,347
后,8,348,8,348
哈欠,8,349,8,349
哦,8,350,8,350
坐,8,351,8,351
太阳,8,352,8,352
宅子,8,353,8,353
实在,8,354,8,354
山,8,355,8,355
山脉,8,356,8,356
弄,8,357,8,357
心情,8,358,8,358
心里,8,359,8,359
怪,8,360,8,360
想要,8,361,8,361
成千上万,8,362,8,362
手指,8,363,8,363
打,8,364,8,364
找到,8,365,8,365
抱,8,366,8,366
挪,8,367,8,367
故事,8,368,8,368
数字,8,369,8,369
整个,8,370,8,370
有些,8,371,8,371
极了,8,372,8,372
根本,8,373,8,373
死去,8,374,8,374
死火山,8,375,8,375
母鸡,8,376,8,376
水井,8,377,8,377
永远,8,378,8,378
沙地,8,379,8,379
注视,8,380,8,380
海洋,8,381,8,381
满天,8,382,8,382
然而,8,383,8,383
玩,8,384,8,384
玫瑰花,8,385,8,385
甚至,8,386,8,386
由于,8,387,8,387
真是,8,388,8,388
瞧,8,389,8,389
离,8,390,8,390
秘密,8,391,8,391
突然,8,392,8,392
站,8,393,8,393
累,8,394,8,394
终于,8,395,8,395
羞愧,8,396,8,396
耗子,8,397,8,397
致意,8,398,8,398
该,8,399,8,399
请,8,400,8,400
路,8,401,8,401
连,8,402,8,402
陛下,8,403,8,403
随后,8,404,8,404
难过,8,405,8,405
顶,8,406,8,406
风,8,407,8,407
飞机,8,408,8,408
咬,7,409,7,409
回来,7,410,7,410
好像,7,411,7,411
怎样,7,412,7,412
感觉,7,413,7,413
或者,7,414,7,414
手,7,415,7,415
朵玫瑰,7,416,7,416
沉默,7,417,7,417
爱慕,7,418,7,418
白鼬,7,419,7,419
看法,7,420,7,420
螺钉,7,421,7,421
长袍,7,422,7,422
一切,6,423,6,423
一口,6,424,6,424
一号,6,425,6,425
一块,6,426,6,426
一本,6,427,6,427
一模一样,6,428,6,428
一点,6,429,6,429
一路上,6,430,6,430
一顶,6,431,6,431
七,6,432,6,432
三次,6,433,6,433
上场,6,434,6,434
下山,6,435,6,435
不到,6,436,6,436
不行,6,437,6,437
严肃,6,438,6,438
之所以,6,439,6,439
书,6,440,6,440
五十三分钟,6,441,6,441
井,6,442,6,442
人家,6,443,6,443
仪式,6,444,6,444
任何人,6,445,6,445
伤心,6,446,6,446
倒,6,447,6,447
先,6,448,6,448
六岁,6,449,6,449
其实,6,450,6,450
危险,6,451,6,451
发出,6,452,6,452
变成,6,453,6,453
只不过,6,454,6,454
只好,6,455,6,455
可惜,6,456,6,456
君主,6,457,6,457
告诉,6,458,6,458
唯一,6,459,6,459
喝,6,460,6,460
喝酒,6,461,6,461
四根,6,462,6,462
四点,6,463,6,463
回声,6,464,6,464
回忆,6,465,6,465
地理书,6,466,6,466
坏,6,467,6,467
多少,6,468,6,468
大臣,6,469,6,469
天文学家,6,470,6,470
她们,6,471,6,471
好好,6,472,6,472
如此,6,473,6,473
嫩苗,6,474,6,474
存在,6,475,6,475
富有,6,476,6,476
小东西,6,477,6,477
就行了,6,478,6,478
带,6,479,6,479
带走,6,480,6,480
干什么,6,481,6,481
应,6,482,6,482
应该,6,483,6,483
座,6,484,6,484
建立,6,485,6,485
开口,6,486,6,486
忧郁,6,487,6,487
快车,6,488,6,488
怀里,6,489,6,489
惊奇,6,490,6,490
想着,6,491,6,491
想起,6,492,6,492
感情,6,493,6,493
懂,6,494,6,494
懂得,6,495,6,495
担心,6,496,6,496
拉,6,497,6,497
拍,6,498,6,498
旅客,6,499,6,499
无法,6,500,6,500
既然,6,501,6,501
日子,6,502,6,502
早晨,6,503,6,503
是不是,6,504,6,504
最后,6,505,6,505
有人,6,506,6,506
有时候,6,507,6,507
有点像,6,508,6,508
根,6,509,6,509
正,6,510,6,510
每个,6,511,6,511
每天,6,512,6,512
每星期,6,513,6,513
毫无,6,514,6,514
气,6,515,6,515
河流,6,516,6,516
法国,6,517,6,517
满意,6,518,6,518
灯火通明,6,519,6,519
用来,6,520,6,520
皮,6,521,6,521
相信,6,522,6,522
看看,6,523,6,523
眼看,6,524,6,524
眼里,6,525,6,525
睡觉,6,526,6,526
石墙,6,527,6,527
礼物,6,528,6,528
种,6,529,6,529
笑了起来,6,530,6,530
笑声,6,531,6,531
缘故,6,532,6,532
罩,6,533,6,533
老先生,6,534,6,534
而后,6,535,6,535
脚步声,6,536,6,536
臣民,6,537,6,537
自言自语,6,538,6,538
花,6,539,6,539
花瓣,6,540,6,540
蝴蝶,6,541,6,541
行,6,542,6,542
观察,6,543,6,543
解释,6,544,6,544
计算,6,545,6,545
记住,6,546,6,546
访问,6,547,6,547
身上,6,548,6,548
轰鸣,6,549,6,549
辘轳,6,550,6,550
过去,6,551,6,551
这会儿,6,552,6,552
重,6,553,6,553
重复,6,554,6,554
金黄色,6,555,6,555
钟,6,556,6,556
铅笔,6,557,6,557
除了,6,558,6,558
随即,6,559,6,559
颜色,6,560,6,560
风障,6,561,6,561
高,6,562,6,562
麦田,6,563,6,563
下面,5,564,5,564
可不,5,565,5,565
呵,5,566,5,566
好比,5,567,5,567
总是,5,568,5,568
才能,5,569,5,569
指,5,570,5,570
没工夫,5,571,5,571
灯,5,572,5,572
说完,5,573,5,573
里面,5,574,5,574
难,5,575,5,575
〇,4,576,4,576
一分钟,4,577,4,577
一列,4,578,4,578
一回,4,579,4,579
一堆,4,580,4,580
一头,4,581,4,581
一层,4,582,4,582
一幅,4,583,4,583
一幢,4,584,4,584
一年,4,585,4,585
一支,4,586,4,586
一棵,4,587,4,587
一步,4,588,4,588
一百,4,589,4,589
一盏,4,590,4,590
一道,4,591,4,591
七百,4,592,4,592
三,4,593,4,593
三十一,4,594,4,594
三点钟,4,595,4,595
上路,4,596,4,596
下午,4,597,4,597
不再,4,598,4,598
不准,4,599,4,599
不吃,4,600,4,600
不同于,4,601,4,601
不妨,4,602,4,602
不必,4,603,4,603
不慌不忙,4,604,4,604
不用,4,605,4,605
不由得,4,606,4,606
不知,4,607,4,607
不能,4,608,4,608
不能容忍,4,609,4,609
不要,4,610,4,610
专制,4,611,4,611
两,4,612,4,612
两座,4,613,4,613
中国,4,614,4,614
久久,4,615,4,615
九,4,616,4,616
买,4,617,4,617
二,4,618,4,618
二十,4,619,4,619
二十二,4,620,4,620
二十亿,4,621,4,621
二千,4,622,4,622
二号,4,623,4,623
仍然,4,624,4,624
他俩,4,625,4,625
令人,4,626,4,626
任何,4,627,4,627
任命,4,628,4,628
仿佛,4,629,4,629
似的,4,630,4,630
保护,4,631,4,631
信,4,632,4,632
修好,4,633,4,633
假装,4,634,4,634
停,4,635,4,635
儿,4,636,4,636
先生,4,637,4,637
光芒,4,638,4,638
全归,4,639,4,639
六,4,640,4,640
六十二万,4,641,4,641
关心,4,642,4,642
内,4,643,4,643
再也,4,644,4,644
几个,4,645,4,645
几百万年,4,646,4,646
出现,4,647,4,647
列车,4,648,4,648
判,4,649,4,649
判决,4,650,4,650
劝,4,651,4,651
动物,4,652,4,652
十,4,653,4,653
十二,4,654,4,654
十五,4,655,4,655
单调,4,656,4,656
卖,4,657,4,657
即使,4,658,4,658
厌烦,4,659,4,659
原始森林,4,660,4,660
原来,4,661,4,661
原谅,4,662,4,662
发,4,663,4,663
发生,4,664,4,664
受,4,665,4,665
受惊,4,666,4,666
口渴,4,667,4,667
可悲,4,668,4,668
吃惊,4,669,4,669
吃掉,4,670,4,670
合情合理,4,671,4,671
吊绳,4,672,4,672
同情,4,673,4,673
名字,4,674,4,674
向来,4,675,4,675
吓,4,676,4,676
吓人,4,677,4,677
听到,4,678,4,678
吹,4,679,4,679
咯咯,4,680,4,680
品行,4,681,4,681
哈,4,682,4,682
哟,4,683,4,683
哩,4,684,4,684
哪个,4,685,4,685
商店,4,686,4,686
啰,4,687,4,687
喊道,4,688,4,688
喔,4,689,4,689
喝完,4,690,4,690
喷发,4,691,4,691
嘛,4,692,4,692
嘴,4,693,4,693
嚼,4,694,4,694
四十,4,695,4,695
回到,4,696,4,696
回家,4,697,4,697
围巾,4,698,4,698
土耳其,4,699,4,699
地理,4,700,4,700
地走了,4,701,4,701
城市,4,702,4,702
墙上,4,703,4,703
壮丽,4,704,4,704
够,4,705,4,705
大军,4,706,4,706
大家,4,707,4,707
大老远,4,708,4,708
头发,4,709,4,709
奇妙,4,710,4,710
好几年,4,711,4,711
好几百万,4,712,4,712
好多,4,713,4,713
娇弱,4,714,4,714
学者,4,715,4,715
宇宙,4,716,4,716
完全,4,717,4,717
定下,4,718,4,718
宝藏,4,719,4,719
对不起,4,720,4,720
寻找,4,721,4,721
小心翼翼,4,722,4,722
小男孩,4,723,4,723
尖,4,724,4,724
岛屿,4,725,4,725
崇拜者,4,726,4,726
差不多,4,727,4,727
巴掌,4,728,4,728
布娃娃,4,729,4,729
帮助,4,730,4,730
年,4,731,4,731
应当,4,732,4,732
张,4,733,4,733
往前,4,734,4,734
很大,4,735,4,735
微微,4,736,4,736
心跳,4,737,4,737
必须,4,738,4,738
忧伤,4,739,4,739
忽然,4,740,4,740
忽略,4,741,4,741
怕,4,742,4,742
思路,4,743,4,743
怯生生,4,744,4,744
总算,4,745,4,745
您好,4,746,4,746
情况,4,747,4,747
情形,4,748,4,748
愿意,4,749,4,749
手势,4,750,4,750
打了个,4,751,4,751
打开,4,752,4,752
打扮,4,753,4,753
折磨,4,754,4,754
抬头,4,755,4,755
抬起,4,756,4,756
抵御,4,757,4,757
拥有,4,758,4,758
挪动,4,759,4,759
捉,4,760,4,760
提供,4,761,4,761
握,4,762,4,762
摘下,4,763,4,763
放过,4,764,4,764
新,4,765,4,765
旅行,4,766,4,766
无关紧要,4,767,4,767
时光,4,768,4,768
星期四,4,769,4,769
是因为,4,770,4,770
显得,4,771,4,771
普普通通,4,772,4,772
景象,4,773,4,773
最先,4,774,4,774
有意思,4,775,4,775
有时,4,776,4,776
有用,4,777,4,777
服装,4,778,4,778
望远镜,4,779,4,779
本来,4,780,4,780
本质,4,781,4,781
权力,4,782,4,782
权威,4,783,4,783
极其,4,784,4,784
某个,4,785,4,785
树皮,4,786,4,786
株,4,787,4,787
椅子,4,788,4,788
模样,4,789,4,789
欧洲,4,790,4,790
正好,4,791,4,791
正忙着,4,792,4,792
死亡,4,793,4,793
死刑,4,794,4,794
毒液,4,795,4,795
没完,4,796,4,796
没错,4,797,4,797
泉水,4,798,4,798
浇水,4,799,4,799
海鸟,4,800,4,800
消化,4,801,4,801
消逝,4,802,4,802
渐渐,4,803,4,803
渴,4,804,4,804
满,4,805,4,805
满天星,4,806,4,806
漂亮,4,807,4,807
火,4,808,4,808
点着,4,809,4,809
爪子,4,810,4,810
物证,4,811,4,811
犹豫,4,812,4,812
猎人,4,813,4,813
猴面包树,4,814,4,814
生气,4,815,4,815
用心,4,816,4,816
疏通,4,817,4,817
省,4,818,4,818
看得见,4,819,4,819
看着,4,820,4,820
真实,4,821,4,821
真正,4,822,4,822
睡着,4,823,4,823
礼貌,4,824,4,824
神秘,4,825,4,825
种子,4,826,4,826
稍稍,4,827,4,827
稍远,4,828,4,828
穿,4,829,4,829
第二天,4,830,4,830
简单,4,831,4,831
算,4,832,4,832
算账,4,833,4,833
箱子,4,834,4,834
精心,4,835,4,835
红脸,4,836,4,836
纸片,4,837,4,837
细,4,838,4,838
经常,4,839,4,839
经过,4,840,4,840
结果,4,841,4,841
绽出,4,842,4,842
绽放,4,843,4,843
缓缓,4,844,4,844
罕见,4,845,4,845
羊,4,846,4,846
美妙,4,847,4,847
而是,4,848,4,848
职业,4,849,4,849
联系,4,850,4,850
肩膀,4,851,4,851
胡思乱想,4,852,4,852
脖子,4,853,4,853
脚踝,4,854,4,854
脱,4,855,4,855
脸色,4,856,4,856
花蕾,4,857,4,857
花费,4,858,4,858
芳香,4,859,4,859
草,4,860,4,860
草地,4,861,4,861
落,4,862,4,862
藏,4,863,4,863
蘑菇,4,864,4,864
要求,4,865,4,865
解开,4,866,4,866
认为,4,867,4,867
记下来,4,868,4,868
记得,4,869,4,869
证据,4,870,4,870
试一下,4,871,4,871
说道,4,872,4,872
调查,4,873,4,873
谎,4,874,4,874
谜,4,875,4,875
负有责任,4,876,4,876
负责,4,877,4,877
赶到,4,878,4,878
赶紧,4,879,4,879
