word,count,frequency_rank,train_count,standard_frequency_rank
le,456,1,309,2
de,430,2,333,1
je,321,3,263,4
il,320,4,275,3
et,298,5,229,6
un,288,6,234,5
est,267,7,192,7
les,255,8,171,9
la,222,9,181,8
petit,200,10,139,12
à,185,11,158,10
pas,181,12,147,11
l,172,13,127,16
prince,171,14,112,21
ne,170,15,133,14
que,164,16,129,15
d,161,17,124,17
j,153,18,136,13
une,152,19,115,20
c,151,20,118,18
n,150,21,116,19
dit,149,22,72,32
mais,137,23,105,22
tu,134,24,98,23
des,131,25,89,26
en,107,26,91,24
qu,106,27,72,33
me,103,28,91,25
qui,102,29,78,28
pour,99,30,76,31
bien,98,31,76,30
ce,95,32,81,27
ai,94,33,77,29
ça,87,34,70,35
se,85,35,57,40
s,84,36,71,34
comme,82,37,68,36
du,72,38,53,43
a,70,39,58,38
si,70,40,56,41
était,70,41,61,37
on,69,42,44,49
sur,67,43,49,47
dans,63,44,51,44
elle,63,45,40,54
lui,63,46,54,42
moi,62,47,49,45
planète,62,48,44,50
plus,62,49,49,46
mon,61,50,58,39
tout,55,51,48,48
au,53,52,43,51
-il,52,53,35,63
fleur,52,54,36,62
m,52,55,41,52
très,49,56,38,59
par,48,57,40,55
y,48,58,35,64
avait,47,59,40,53
alors,46,60,38,56
quand,46,61,38,57
son,46,62,38,58
vous,46,63,31,74
ils,45,64,24,82
rien,45,65,34,65
sont,44,66,37,61
jamais,42,67,33,67
suis,42,68,28,78
peu,41,69,32,72
ma,40,70,32,71
encore,39,71,33,66
puis,39,72,24,83
étoiles,39,73,38,60
avec,37,74,32,69
elles,37,75,32,70
répondit,37,76,28,76
renard,35,77,6,267
aussi,33,78,25,81
cette,33,79,29,75
fait,33,80,27,79
mouton,33,81,33,68
sa,33,82,28,77
roi,31,83,31,73
te,30,84,26,80
où,28,85,21,88
trop,28,86,22,87
fois,27,87,23,85
là,27,88,20,92
donc,26,89,19,94
jour,26,90,20,91
toi,26,91,19,98
leur,25,92,14,127
avais,24,93,23,84
ou,24,94,18,100
as,23,95,17,102
peut,23,96,21,89
sûr,23,97,16,113
toujours,23,98,19,99
-tu,22,99,17,101
même,22,100,17,103
non,22,101,16,111
personne,22,102,17,104
soleil,22,103,22,86
toutes,22,104,15,120
-ce,21,105,12,141
grandes,21,106,19,95
personnes,21,107,19,96
terre,21,108,7,241
-là,20,109,19,93
cent,20,110,12,145
chez,20,111,13,135
dessin,20,112,20,90
fit,20,113,8,210
géographe,20,114,0,
nous,20,115,13,138
t,20,116,15,118
autres,19,117,13,133
es,19,118,10,173
faire,19,119,12,148
quoi,19,120,19,97
seul,19,121,11,165
être,19,122,16,114
-t,18,123,14,121
ah,18,124,13,132
beaucoup,18,125,14,125
cinq,18,126,16,109
faut,18,127,15,115
hommes,18,128,4,374
mille,18,129,10,177
millions,18,130,16,110
nuit,18,131,16,112
pourquoi,18,132,14,130
ta,18,133,12,151
baobabs,17,134,16,108
mes,17,135,14,128
sans,17,136,17,105
étais,17,137,17,106
-même,16,138,16,107
ami,16,139,14,123
autre,16,140,14,124
bonjour,16,141,9,183
fais,16,142,14,126
ont,16,143,11,161
sera,16,144,13,139
tellement,16,145,15,119
vers,16,146,12,152
ainsi,15,147,14,122
deux,15,148,8,209
fut,15,149,9,190
ni,15,150,15,116
oui,15,151,14,129
serpent,15,152,6,270
sérieux,15,153,15,117
trois,15,154,8,217
veux,15,155,13,140
viens,15,156,8,218
-moi,14,157,12,142
chose,14,158,12,146
fleurs,14,159,12,149
ici,14,160,9,191
loin,14,161,9,192
ses,14,162,14,131
temps,14,163,8,216
toute,14,164,9,200
allumeur,13,165,12,143
bonhomme,13,166,13,134
dis,13,167,13,136
doucement,13,168,13,137
eau,13,169,12,147
longtemps,13,170,10,174
six,13,171,11,166
été,13,172,12,153
-je,12,173,11,154
car,12,174,11,157
cause,12,175,11,158
celui,12,176,12,144
demanda,12,177,6,257
désert,12,178,9,189
monde,12,179,7,232
quelque,12,180,11,163
rose,12,181,3,539
sais,12,182,12,150
vaniteux,12,183,11,167
vie,12,184,9,201
volcans,12,185,6,281
vu,12,186,9,203
épines,12,187,11,168
êtes,12,188,1,2019
-vous,11,189,4,341
air,11,190,11,155
ajouta,11,191,9,181
aux,11,192,11,156
choses,11,193,6,254
crois,11,194,9,186
déjà,11,195,7,226
eu,11,196,11,159
mort,11,197,11,160
puits,11,198,11,162
rire,11,199,11,164
réverbère,11,200,9,195
signifie,11,201,3,551
tous,11,202,6,273
vingt,11,203,9,202
-être,10,204,9,180
aime,10,205,10,169
ans,10,206,10,170
cependant,10,207,10,171
ces,10,208,10,172
dire,10,209,9,187
explorateur,10,210,0,
maison,10,211,10,175
matin,10,212,10,176
parce,10,213,7,234
peine,10,214,10,178
puisque,10,215,4,395
question,10,216,9,194
sable,10,217,9,196
sait,10,218,7,239
silence,10,219,10,179
sous,10,220,7,240
yeux,10,221,7,244
boire,9,222,9,182
businessman,9,223,9,184
ciel,9,224,8,206
coeur,9,225,7,225
comprendre,9,226,8,207
consigne,9,227,9,185
disait,9,228,9,188
homme,9,229,8,212
jours,9,230,7,230
maintenant,9,231,8,213
petite,9,232,9,193
peur,9,233,8,215
quatre,9,234,5,325
roses,9,235,2,806
savais,9,236,9,197
sept,9,237,6,269
soif,9,238,9,198
soir,9,239,9,199
vieux,9,240,6,278
étoile,9,241,8,220
abord,8,242,5,285
après,8,243,6,245
besoin,8,244,5,288
boa,8,245,8,204
bruit,8,246,6,252
buveur,8,247,8,205
connaître,8,248,6,255
coucher,8,249,8,208
drôle,8,250,6,258
enfin,8,251,4,366
heureux,8,252,6,263
histoire,8,253,8,211
important,8,254,7,229
nouveau,8,255,8,214
place,8,256,4,389
possède,8,257,7,236
regarda,8,258,5,326
tour,8,259,5,334
triste,8,260,6,276
unique,8,261,1,1926
voir,8,262,6,280
vrai,8,263,8,219
-ci,7,264,5,282
aiguilleur,7,265,0,
amis,7,266,2,584
astéroïde,7,267,7,221
aurais,7,268,6,247
auras,7,269,6,248
ayant,7,270,4,349
boas,7,271,7,222
bonne,7,272,4,352
ceux,7,273,1,1063
chapeau,7,274,7,223
chercher,7,275,7,224
contre,7,276,5,295
couleur,7,277,4,360
coup,7,278,5,296
dû,7,279,7,227
enfants,7,280,5,302
globe,7,281,6,260
grande,7,282,7,228
habitée,7,283,6,261
heure,7,284,2,698
heures,7,285,3,484
idée,7,286,4,376
importe,7,287,5,308
juger,7,288,7,231
milles,7,289,5,313
numéro,7,290,7,233
oh,7,291,4,385
or,7,292,5,319
part,7,293,7,235
point,7,294,4,393
poulie,7,295,7,237
premier,7,296,6,265
rit,7,297,7,238
réverbères,7,298,2,814
serait,7,299,5,330
ton,7,300,7,242
va,7,301,5,336
vent,7,302,5,337
voilà,7,303,6,279
voyage,7,304,7,243
étaient,7,305,2,878
éteint,7,306,4,419
adieu,6,307,2,577
afin,6,308,2,580
aperçut,6,309,4,346
aurai,6,310,6,246
avion,6,311,6,249
avoir,6,312,6,250
blé,6,313,0,
bras,6,314,6,251
celle,6,315,5,290
cents,6,316,6,253
compris,6,317,5,293
content,6,318,5,294
couchers,6,319,6,256
exemple,6,320,3,467
faute,6,321,5,304
fis,6,322,6,259
grand,6,323,5,306
hasard,6,324,4,371
hem,6,325,6,262
herbe,6,326,4,372
mal,6,327,5,310
mourir,6,328,3,507
moutons,6,329,6,264
oublier,6,330,5,320
peux,6,331,5,322
pu,6,332,6,266
quelle,6,333,4,396
répéta,6,334,3,541
savoir,6,335,3,545
semblait,6,336,6,268
serpents,6,337,6,271
tant,6,338,5,332
tantôt,6,339,4,410
tes,6,340,6,272
travail,6,341,6,274
trente,6,342,6,275
tête,6,343,6,277
venait,6,344,4,414
veut,6,345,5,338
voit,6,346,4,416
-deux,5,347,5,283
-quatre,5,348,5,284
agit,5,349,4,344
allumeurs,5,350,0,
appris,5,351,5,286
apprivoisé,5,352,0,
arbustes,5,353,5,287
belle,5,354,3,436
cadeau,5,355,4,355
cela,5,356,5,289
cet,5,357,5,291
cherchent,5,358,3,445
comment,5,359,5,292
compte,5,360,2,626
danger,5,361,5,297
demande,5,362,4,361
dessine,5,363,5,298
dessiné,5,364,5,299
difficile,5,365,5,300
disais,5,366,5,301
donner,5,367,3,456
dont,5,368,2,650
emporter,5,369,4,365
entendre,5,370,5,303
eut,5,371,4,367
existe,5,372,3,468
graines,5,373,5,305
général,5,374,5,307
joli,5,375,3,487
jusqu,5,376,4,377
leurs,5,377,3,492
lever,5,378,5,309
livre,5,379,4,378
mange,5,380,4,380
mangent,5,381,5,311
mettre,5,382,5,312
mieux,5,383,4,382
minute,5,384,5,314
minutes,5,385,5,315
monarque,5,386,5,316
monsieur,5,387,2,735
montagne,5,388,0,
montagnes,5,389,0,
mur,5,390,5,317
muselière,5,391,5,318
ordre,5,392,4,387
petites,5,393,5,321
poules,5,394,0,
pris,5,395,5,323
près,5,396,4,394
quarante,5,397,5,324
responsable,5,398,2,803
ressemblent,5,399,3,537
rougit,5,400,5,327
répondis,5,401,5,328
savent,5,402,4,401
seconde,5,403,5,329
secret,5,404,3,547
semblable,5,405,2,822
seras,5,406,4,403
seule,5,407,1,1832
souvenir,5,408,1,1860
suffit,5,409,5,331
surpris,5,410,4,407
tard,5,411,5,333
tombé,5,412,4,413
utile,5,413,5,335
vite,5,414,5,339
vraiment,5,415,4,418
âge,5,416,5,340
612,4,417,4,342
absurde,4,418,4,343
aimé,4,419,4,345
aller,4,420,3,424
années,4,421,3,427
apprivoise,4,422,0,
apprivoiser,4,423,1,970
asseoir,4,424,3,428
assis,4,425,4,347
assit,4,426,2,591
attendre,4,427,4,348
avant,4,428,3,434
b,4,429,4,350
beau,4,430,4,351
boulon,4,431,4,353
brusquement,4,432,4,354
chaque,4,433,3,444
cinquante,4,434,4,356
combien,4,435,4,357
connais,4,436,3,447
connu,4,437,4,358
corde,4,438,4,359
depuis,4,439,4,362
durant,4,440,4,363
dès,4,441,3,461
départ,4,442,3,463
déserts,4,443,0,
effort,4,444,4,364
exact,4,445,3,466
eût,4,446,2,675
faisait,4,447,3,471
faites,4,448,2,677
fera,4,449,3,473
fermés,4,450,4,368
fier,4,451,4,369
font,4,452,3,474
grelots,4,453,4,370
géographie,4,454,3,482
herbes,4,455,4,373
honte,4,456,4,375
importante,4,457,1,1400
invisible,4,458,2,711
juste,4,459,3,488
livres,4,460,0,
lorsque,4,461,4,379
marchand,4,462,4,381
mots,4,463,4,383
mélancolie,4,464,4,384
oeil,4,465,2,747
onze,4,466,1,1568
ordonne,4,467,4,386
oublié,4,468,2,750
pendant,4,469,4,388
perdu,4,470,2,762
petits,4,471,3,516
peuvent,4,472,3,517
plaisir,4,473,4,390
planètes,4,474,4,391
pleurer,4,475,3,519
poche,4,476,4,392
posée,4,477,3,521
pourrait,4,478,3,522
quelqu,4,479,3,528
quelquefois,4,480,3,529
questions,4,481,4,397
rapide,4,482,1,1705
reconnaître,4,483,4,398
reprit,4,484,2,802
riche,4,485,3,538
rois,4,486,2,805
répondu,4,487,4,399
réussir,4,488,4,400
sentais,4,489,4,402
seront,4,490,4,404
sert,4,491,4,405
seuls,4,492,1,1834
souvenirs,4,493,2,836
su,4,494,4,406
sérieuses,4,495,4,408
taisais,4,496,4,409
tas,4,497,4,411
tigres,4,498,4,412
vais,4,499,3,560
visite,4,500,4,415
voici,4,501,2,862
voix,4,502,3,561
volcan,4,503,2,864
votre,4,504,2,865
voulait,4,505,4,417
écria,4,506,3,566
éphémère,4,507,0,
-dessus,3,508,2,569
-elle,3,509,3,420
-elles,3,510,3,421
-trois,3,511,3,422
1,3,512,3,423
activité,3,513,2,575
amusant,3,514,3,425
année,3,515,3,426
assez,3,516,3,429
astronome,3,517,3,430
attacher,3,518,3,431
aussitôt,3,519,3,432
autorité,3,520,3,433
autour,3,521,1,998
avez,3,522,1,1009
baobab,3,523,3,435
bonnes,3,524,3,437
brindille,3,525,3,438
bâiller,3,526,3,439
caisse,3,527,3,440
calcul,3,528,2,608
chacun,3,529,2,610
chaise,3,530,3,441
chance,3,531,3,442
change,3,532,1,1065
changé,3,533,3,443
chasseurs,3,534,0,
cheveux,3,535,2,616
chiffres,3,536,2,617
commence,3,537,2,621
comprit,3,538,3,446
corps,3,539,3,448
crayon,3,540,1,1135
côté,3,541,3,449
debout,3,542,2,643
demi,3,543,2,645
dernière,3,544,3,450
dessiner,3,545,3,451
dessinerai,3,546,3,452
dessins,3,547,3,453
devant,3,548,3,454
différent,3,549,1,1176
dites,3,550,3,455
dois,3,551,2,646
donné,3,552,3,457
dorment,3,553,2,651
dormir,3,554,2,653
douceur,3,555,3,458
doux,3,556,3,459
droit,3,557,3,460
décidément,3,558,3,462
découverte,3,559,1,1209
effet,3,560,2,663
endormi,3,561,3,464
enfant,3,562,3,465
essentiel,3,563,1,1274
explications,3,564,3,469
explorateurs,3,565,0,
extraordinaire,3,566,3,470
fatigue,3,567,3,472
fleuves,3,568,0,
fontaine,3,569,3,475
fragile,3,570,3,476
france,3,571,3,477
fus,3,572,3,478
garçon,3,573,2,686
gravement,3,574,3,479
griffes,3,575,3,480
gros,3,576,2,693
grosses,3,577,2,694
grâce,3,578,3,481
hermine,3,579,3,483
illuminé,3,580,0,
importance,3,581,3,485
interroger,3,582,3,486
intéressant,3,583,0,
jardin,3,584,1,1434
jouer,3,585,1,1443
justement,3,586,3,489
laisse,3,587,3,490
lentement,3,588,3,491
leva,3,589,2,721
long,3,590,2,722
lourd,3,591,3,493
lune,3,592,2,724
magnifique,3,593,3,494
mains,3,594,3,495
malheureusement,3,595,3,496
mangé,3,596,3,497
marche,3,597,3,498
marcher,3,598,3,499
marteau,3,599,3,500
mauvaises,3,600,3,501
mer,3,601,3,502
mienne,3,602,3,503
moins,3,603,3,504
mois,3,604,3,505
moteur,3,605,3,506
musique,3,606,2,736
mystère,3,607,3,508
métier,3,608,2,739
oiseau,3,609,3,509
ordonnais,3,610,3,510
ouverts,3,611,3,511
panne,3,612,3,512
papier,3,613,3,513
papillons,3,614,2,751
paravent,3,615,2,753
pardon,3,616,3,514
parler,3,617,3,515
parles,3,618,2,756
plante,3,619,3,518
plaît,3,620,2,764
possible,3,621,1,1647
posséder,3,622,3,520
pouvais,3,623,3,523
pouvait,3,624,3,524
pouvoir,3,625,3,525
première,3,626,2,767
préparer,3,627,3,526
pâle,3,628,3,527
pétales,3,629,2,777
quel,3,630,2,779
quitterai,3,631,3,530
raconté,3,632,2,781
raisonnable,3,633,3,531
rayonnement,3,634,3,532
regarde,3,635,1,1722
regarder,3,636,3,533
reposer,3,637,3,534
représentait,3,638,3,535
ressemblait,3,639,3,536
revint,3,640,0,
revoir,3,641,1,1761
route,3,642,2,807
région,3,643,3,540
réussi,3,644,3,542
réussis,3,645,3,543
saluer,3,646,3,544
sauf,3,647,2,820
seau,3,648,3,546
serré,3,649,3,548
servent,3,650,3,549
seulement,3,651,3,550
simple,3,652,2,827
simplement,3,653,3,552
soi,3,654,3,553
soient,3,655,1,1839
stupéfait,3,656,2,837
tirer,3,657,3,554
toilette,3,658,3,555
tort,3,659,3,556
troisième,3,660,2,847
troupeau,3,661,3,557
trouve,3,662,3,558
trouvent,3,663,2,849
trésor,3,664,3,559
vas,3,665,1,1932
village,3,666,2,861
villes,3,667,0,
vois,3,668,2,863
voudras,3,669,3,562
voulais,3,670,3,563
voyais,3,671,3,564
véritable,3,672,1,1968
«bonjour,3,673,0,
«ils,3,674,0,
«tu,3,675,0,
écho,3,676,0,
écouter,3,677,3,565
éléphant,3,678,3,567
éteindre,3,679,3,568
-bas,2,680,1,881
-dire,2,681,1,885
-on,2,682,2,570
-à,2,683,1,895
2,2,684,2,571
abandonnée,2,685,2,572
abri,2,686,2,573
absolu,2,687,2,574
additions,2,688,2,576
admire,2,689,2,578
admirer,2,690,2,579
afrique,2,691,0,
aider,2,692,1,928
aimes,2,693,2,581
allons,2,694,2,582
allume,2,695,2,583
amérique,2,696,0,
an,2,697,1,951
anniversaire,2,698,2,585
aperçus,2,699,1,960
apparaître,2,700,2,586
apparition,2,701,2,587
apprivoises,2,702,0,
arbre,2,703,2,588
armée,2,704,0,
arracher,2,705,2,589
assister,2,706,2,590
aucune,2,707,2,592
