word,count,frequency_rank,train_count,standard_frequency_rank
de,333,1,333,1
le,309,2,309,2
il,275,3,275,3
je,263,4,263,4
un,234,5,234,5
et,229,6,229,6
est,192,7,192,7
la,181,8,181,8
les,171,9,171,9
à,158,10,158,10
pas,147,11,147,11
petit,139,12,139,12
j,136,13,136,13
ne,133,14,133,14
que,129,15,129,15
l,127,16,127,16
d,124,17,124,17
c,118,18,118,18
n,116,19,116,19
une,115,20,115,20
prince,112,21,112,21
mais,105,22,105,22
tu,98,23,98,23
en,91,24,91,24
me,91,25,91,25
des,89,26,89,26
ce,81,27,81,27
qui,78,28,78,28
ai,77,29,77,29
bien,76,30,76,30
pour,76,31,76,31
dit,72,32,72,32
qu,72,33,72,33
s,71,34,71,34
ça,70,35,70,35
comme,68,36,68,36
était,61,37,61,37
a,58,38,58,38
mon,58,39,58,39
se,57,40,57,40
si,56,41,56,41
lui,54,42,54,42
du,53,43,53,43
dans,51,44,51,44
moi,49,45,49,45
plus,49,46,49,46
sur,49,47,49,47
tout,48,48,48,48
on,44,49,44,49
planète,44,50,44,50
au,43,51,43,51
m,41,52,41,52
avait,40,53,40,53
elle,40,54,40,54
par,40,55,40,55
alors,38,56,38,56
quand,38,57,38,57
son,38,58,38,58
très,38,59,38,59
étoiles,38,60,38,60
sont,37,61,37,61
fleur,36,62,36,62
-il,35,63,35,63
y,35,64,35,64
rien,34,65,34,65
encore,33,66,33,66
jamais,33,67,33,67
mouton,33,68,33,68
avec,32,69,32,69
elles,32,70,32,70
ma,32,71,32,71
peu,32,72,32,72
roi,31,73,31,73
vous,31,74,31,74
cette,29,75,29,75
répondit,28,76,28,76
sa,28,77,28,77
suis,28,78,28,78
fait,27,79,27,79
te,26,80,26,80
aussi,25,81,25,81
ils,24,82,24,82
puis,24,83,24,83
avais,23,84,23,84
fois,23,85,23,85
soleil,22,86,22,86
trop,22,87,22,87
où,21,88,21,88
peut,21,89,21,89
dessin,20,90,20,90
jour,20,91,20,91
là,20,92,20,92
-là,19,93,19,93
donc,19,94,19,94
grandes,19,95,19,95
personnes,19,96,19,96
quoi,19,97,19,97
toi,19,98,19,98
toujours,19,99,19,99
ou,18,100,18,100
-tu,17,101,17,101
as,17,102,17,102
même,17,103,17,103
personne,17,104,17,104
sans,17,105,17,105
étais,17,106,17,106
-même,16,107,16,107
baobabs,16,108,16,108
cinq,16,109,16,109
millions,16,110,16,110
non,16,111,16,111
nuit,16,112,16,112
sûr,16,113,16,113
être,16,114,16,114
faut,15,115,15,115
ni,15,116,15,116
sérieux,15,117,15,117
t,15,118,15,118
tellement,15,119,15,119
toutes,15,120,15,120
-t,14,121,14,121
ainsi,14,122,14,122
ami,14,123,14,123
autre,14,124,14,124
beaucoup,14,125,14,125
fais,14,126,14,126
leur,14,127,14,127
mes,14,128,14,128
oui,14,129,14,129
pourquoi,14,130,14,130
ses,14,131,14,131
ah,13,132,13,132
autres,13,133,13,133
bonhomme,13,134,13,134
chez,13,135,13,135
dis,13,136,13,136
doucement,13,137,13,137
nous,13,138,13,138
sera,13,139,13,139
veux,13,140,13,140
-ce,12,141,12,141
-moi,12,142,12,142
allumeur,12,143,12,143
celui,12,144,12,144
cent,12,145,12,145
chose,12,146,12,146
eau,12,147,12,147
faire,12,148,12,148
fleurs,12,149,12,149
sais,12,150,12,150
ta,12,151,12,151
vers,12,152,12,152
été,12,153,12,153
-je,11,154,11,154
air,11,155,11,155
aux,11,156,11,156
car,11,157,11,157
cause,11,158,11,158
eu,11,159,11,159
mort,11,160,11,160
ont,11,161,11,161
puits,11,162,11,162
quelque,11,163,11,163
rire,11,164,11,164
seul,11,165,11,165
six,11,166,11,166
vaniteux,11,167,11,167
épines,11,168,11,168
aime,10,169,10,169
ans,10,170,10,170
cependant,10,171,10,171
ces,10,172,10,172
es,10,173,10,173
longtemps,10,174,10,174
maison,10,175,10,175
matin,10,176,10,176
mille,10,177,10,177
peine,10,178,10,178
silence,10,179,10,179
-être,9,180,9,180
ajouta,9,181,9,181
boire,9,182,9,182
bonjour,9,183,9,183
businessman,9,184,9,184
consigne,9,185,9,185
crois,9,186,9,186
dire,9,187,9,187
disait,9,188,9,188
désert,9,189,9,189
fut,9,190,9,190
ici,9,191,9,191
loin,9,192,9,192
petite,9,193,9,193
question,9,194,9,194
réverbère,9,195,9,195
sable,9,196,9,196
savais,9,197,9,197
soif,9,198,9,198
soir,9,199,9,199
toute,9,200,9,200
vie,9,201,9,201
vingt,9,202,9,202
vu,9,203,9,203
boa,8,204,8,204
buveur,8,205,8,205
ciel,8,206,8,206
comprendre,8,207,8,207
coucher,8,208,8,208
deux,8,209,8,209
fit,8,210,8,210
histoire,8,211,8,211
homme,8,212,8,212
maintenant,8,213,8,213
nouveau,8,214,8,214
peur,8,215,8,215
temps,8,216,8,216
trois,8,217,8,217
viens,8,218,8,218
vrai,8,219,8,219
étoile,8,220,8,220
astéroïde,7,221,7,221
boas,7,222,7,222
chapeau,7,223,7,223
chercher,7,224,7,224
coeur,7,225,7,225
déjà,7,226,7,226
dû,7,227,7,227
grande,7,228,7,228
important,7,229,7,229
jours,7,230,7,230
juger,7,231,7,231
monde,7,232,7,232
numéro,7,233,7,233
parce,7,234,7,234
part,7,235,7,235
possède,7,236,7,236
poulie,7,237,7,237
rit,7,238,7,238
sait,7,239,7,239
sous,7,240,7,240
terre,7,241,7,241
ton,7,242,7,242
voyage,7,243,7,243
yeux,7,244,7,244
après,6,245,6,245
aurai,6,246,6,246
aurais,6,247,6,247
auras,6,248,6,248
avion,6,249,6,249
avoir,6,250,6,250
bras,6,251,6,251
bruit,6,252,6,252
cents,6,253,6,253
choses,6,254,6,254
connaître,6,255,6,255
couchers,6,256,6,256
demanda,6,257,6,257
drôle,6,258,6,258
fis,6,259,6,259
globe,6,260,6,260
habitée,6,261,6,261
hem,6,262,6,262
heureux,6,263,6,263
moutons,6,264,6,264
premier,6,265,6,265
pu,6,266,6,266
renard,6,267,6,267
semblait,6,268,6,268
sept,6,269,6,269
serpent,6,270,6,270
serpents,6,271,6,271
tes,6,272,6,272
tous,6,273,6,273
travail,6,274,6,274
trente,6,275,6,275
triste,6,276,6,276
tête,6,277,6,277
vieux,6,278,6,278
voilà,6,279,6,279
voir,6,280,6,280
volcans,6,281,6,281
-ci,5,282,5,282
-deux,5,283,5,283
-quatre,5,284,5,284
abord,5,285,5,285
appris,5,286,5,286
arbustes,5,287,5,287
besoin,5,288,5,288
cela,5,289,5,289
celle,5,290,5,290
cet,5,291,5,291
comment,5,292,5,292
compris,5,293,5,293
content,5,294,5,294
contre,5,295,5,295
coup,5,296,5,296
danger,5,297,5,297
dessine,5,298,5,298
dessiné,5,299,5,299
difficile,5,300,5,300
disais,5,301,5,301
enfants,5,302,5,302
entendre,5,303,5,303
faute,5,304,5,304
graines,5,305,5,305
grand,5,306,5,306
général,5,307,5,307
importe,5,308,5,308
lever,5,309,5,309
mal,5,310,5,310
mangent,5,311,5,311
mettre,5,312,5,312
milles,5,313,5,313
minute,5,314,5,314
minutes,5,315,5,315
monarque,5,316,5,316
mur,5,317,5,317
muselière,5,318,5,318
or,5,319,5,319
oublier,5,320,5,320
petites,5,321,5,321
peux,5,322,5,322
pris,5,323,5,323
quarante,5,324,5,324
quatre,5,325,5,325
regarda,5,326,5,326
rougit,5,327,5,327
répondis,5,328,5,328
seconde,5,329,5,329
serait,5,330,5,330
suffit,5,331,5,331
tant,5,332,5,332
tard,5,333,5,333
tour,5,334,5,334
utile,5,335,5,335
va,5,336,5,336
vent,5,337,5,337
veut,5,338,5,338
vite,5,339,5,339
âge,5,340,5,340
-vous,4,341,4,341
612,4,342,4,342
absurde,4,343,4,343
